,country,variable,percentile,year,value,age,pop
0,SC,sptinc992j,p90p100,1998,0.5271,992,j
1,MU,sptinc992j,p90p100,1998,0.4578,992,j
2,DZ,sptinc992j,p90p100,1998,0.4193,992,j
3,TN,sptinc992j,p90p100,1998,0.4888,992,j
4,BW,sptinc992j,p90p100,1998,0.6949,992,j
5,LY,sptinc992j,p90p100,1998,0.4492,992,j
6,ZA,sptinc992j,p90p100,1998,0.5152,992,j
7,GA,sptinc992j,p90p100,1998,0.5078,992,j
8,EG,sptinc992j,p90p100,1998,0.5099,992,j
9,MA,sptinc992j,p90p100,1998,0.4812,992,j
10,ST,sptinc992j,p90p100,1998,0.3969,992,j
11,GH,sptinc992j,p90p100,1998,0.4845,992,j
12,ZM,sptinc992j,p90p100,1998,0.56,992,j
13,GQ,sptinc992j,p90p100,1998,0.5116,992,j
14,KE,sptinc992j,p90p100,1998,0.5463,992,j
15,AO,sptinc992j,p90p100,1998,0.5418,992,j
16,CM,sptinc992j,p90p100,1998,0.533,992,j
17,ZW,sptinc992j,p90p100,1998,0.5741,992,j
18,KM,sptinc992j,p90p100,1998,0.5589,992,j
19,RW,sptinc992j,p90p100,1998,0.5741,992,j
20,NG,sptinc992j,p90p100,1998,0.4649,992,j
21,TZ,sptinc992j,p90p100,1998,0.4491,992,j
22,UG,sptinc992j,p90p100,1998,0.5177,992,j
23,MR,sptinc992j,p90p100,1998,0.4536,992,j
24,SC,anninc992i,p0p100,1998,231224.0,992,i
25,MU,anninc992i,p0p100,1998,292665.7,992,i
26,DZ,anninc992i,p0p100,1998,611046.3,992,i
27,TN,anninc992i,p0p100,1998,8458.6,992,i
28,BW,anninc992i,p0p100,1998,98289.5,992,i
29,LY,anninc992i,p0p100,1998,17930.6,992,i
30,ZA,anninc992i,p0p100,1998,99737.8,992,i
31,GA,anninc992i,p0p100,1998,9545004.0,992,i
32,EG,anninc992i,p0p100,1998,58174.5,992,i
33,MA,anninc992i,p0p100,1998,31560.4,992,i
34,ST,anninc992i,p0p100,1998,58696.5,992,i
35,GH,anninc992i,p0p100,1998,11033.0,992,i
36,ZM,anninc992i,p0p100,1998,19410.4,992,i
37,GQ,anninc992i,p0p100,1998,3749133.3,992,i
38,KE,anninc992i,p0p100,1998,288176.6,992,i
39,AO,anninc992i,p0p100,1998,1395326.8,992,i
40,CM,anninc992i,p0p100,1998,1340613.1,992,i
41,ZW,anninc992i,p0p100,1998,4966.3,992,i
42,KM,anninc992i,p0p100,1998,1082578.0,992,i
43,RW,anninc992i,p0p100,1998,582949.0,992,i
44,NG,anninc992i,p0p100,1998,891319.3,992,i
45,TZ,anninc992i,p0p100,1998,2423449.0,992,i
46,UG,anninc992i,p0p100,1998,3506619.5,992,i
47,MR,anninc992i,p0p100,1998,66933.9,992,i
48,SC,agdpro992i,p0p100,1998,260832.6,992,i
49,MU,agdpro992i,p0p100,1998,307612.4,992,i
50,DZ,agdpro992i,p0p100,1998,682288.7,992,i
51,TN,agdpro992i,p0p100,1998,10514.5,992,i
52,BW,agdpro992i,p0p100,1998,108429.1,992,i
53,LY,agdpro992i,p0p100,1998,18609.6,992,i
54,ZA,agdpro992i,p0p100,1998,117655.8,992,i
55,GA,agdpro992i,p0p100,1998,12369358.0,992,i
56,EG,agdpro992i,p0p100,1998,60337.0,992,i
57,MA,agdpro992i,p0p100,1998,33483.1,992,i
58,ST,agdpro992i,p0p100,1998,66049.0,992,i
59,GH,agdpro992i,p0p100,1998,11969.9,992,i
60,ZM,agdpro992i,p0p100,1998,23110.4,992,i
61,GQ,agdpro992i,p0p100,1998,4550039.0,992,i
62,KE,agdpro992i,p0p100,1998,307169.5,992,i
63,AO,agdpro992i,p0p100,1998,1685373.0,992,i
64,CM,agdpro992i,p0p100,1998,1478885.8,992,i
65,ZW,agdpro992i,p0p100,1998,5618.7,992,i
66,KM,agdpro992i,p0p100,1998,1178712.9,992,i
67,RW,agdpro992i,p0p100,1998,619600.1,992,i
68,NG,agdpro992i,p0p100,1998,933346.6,992,i
69,TZ,agdpro992i,p0p100,1998,2934209.3,992,i
70,UG,agdpro992i,p0p100,1998,3756025.8,992,i
71,MR,agdpro992i,p0p100,1998,74801.7,992,i
72,SC,npopul999i,p0p100,1998,79064.0,999,i
73,MU,npopul999i,p0p100,1998,1165283.0,999,i
74,DZ,npopul999i,p0p100,1998,30192754.0,999,i
75,TN,npopul999i,p0p100,1998,9509857.0,999,i
76,BW,npopul999i,p0p100,1998,1575824.0,999,i
77,LY,npopul999i,p0p100,1998,5196780.0,999,i
78,ZA,npopul999i,p0p100,1998,41936884.0,999,i
79,GA,npopul999i,p0p100,1998,1170061.0,999,i
80,EG,npopul999i,p0p100,1998,66200268.0,999,i
81,MA,npopul999i,p0p100,1998,28110444.0,999,i
82,ST,npopul999i,p0p100,1998,137848.0,999,i
83,GH,npopul999i,p0p100,1998,18357156.0,999,i
84,ZM,npopul999i,p0p100,1998,9866476.0,999,i
85,GQ,npopul999i,p0p100,1998,558492.0,999,i
86,KE,npopul999i,p0p100,1998,30250488.0,999,i
87,AO,npopul999i,p0p100,1998,15359601.0,999,i
88,CM,npopul999i,p0p100,1998,14723768.0,999,i
89,ZW,npopul999i,p0p100,1998,11747072.0,999,i
90,KM,npopul999i,p0p100,1998,515385.0,999,i
91,RW,npopul999i,p0p100,1998,6962802.0,999,i
92,NG,npopul999i,p0p100,1998,116319760.0,999,i
93,TZ,npopul999i,p0p100,1998,31060196.0,999,i
94,UG,npopul999i,p0p100,1998,22290780.0,999,i
95,MR,npopul999i,p0p100,1998,2496216.0,999,i
96,SC,sptinc992j,p50p90,1998,0.3504,992,j
97,MU,sptinc992j,p50p90,1998,0.3901,992,j
98,DZ,sptinc992j,p50p90,1998,0.4205,992,j
99,TN,sptinc992j,p50p90,1998,0.3838,992,j
100,BW,sptinc992j,p50p90,1998,0.2507,992,j
101,LY,sptinc992j,p50p90,1998,0.3956,992,j
102,ZA,sptinc992j,p50p90,1998,0.3716,992,j
103,GA,sptinc992j,p50p90,1998,0.367,992,j
104,EG,sptinc992j,p50p90,1998,0.3332,992,j
105,MA,sptinc992j,p50p90,1998,0.3833,992,j
106,ST,sptinc992j,p50p90,1998,0.4347,992,j
107,GH,sptinc992j,p50p90,1998,0.3829,992,j
108,ZM,sptinc992j,p50p90,1998,0.3423,992,j
109,GQ,sptinc992j,p50p90,1998,0.369,992,j
110,KE,sptinc992j,p50p90,1998,0.3416,992,j
111,AO,sptinc992j,p50p90,1998,0.3519,992,j
112,CM,sptinc992j,p50p90,1998,0.3485,992,j
113,ZW,sptinc992j,p50p90,1998,0.3248,992,j
114,KM,sptinc992j,p50p90,1998,0.3419,992,j
115,RW,sptinc992j,p50p90,1998,0.3148,992,j
116,NG,sptinc992j,p50p90,1998,0.4091,992,j
117,TZ,sptinc992j,p50p90,1998,0.4019,992,j
118,UG,sptinc992j,p50p90,1998,0.3555,992,j
